publish_date,title,cleaned_summary
2023-03-15,OpenAI announces ChatGPT successor GPT-4,openai has released gpt4 the latest version of its hugely popular artificial intelligence chatbot chatgpt the new model can respond to images  providing recipe suggestions from photos of ingredients for example as well as writing captions and descriptions it can also process up to 25000 words about eight times as many as chatgpt millions of people have used chatgpt since it launched in november 2022 popular requests for it include writing songs poems marketing copy computer code and helping with homework  although teachers say students shouldnt use it chatgpt answers questions using natural humanlike language and it can also mimic other writing styles such as songwriters and authors using the internet as it was in 2021 as its knowledge database there are concerns that it could one day take over many jobs currently done by humans what is ai and is it dangerous openai said it had spent six months on safety features for gpt4 and had trained it on human feedback however it warned that it may still be prone to sharing disinformation gpt4 will initially be available to chatgpt plus subscribers who pay 20 per month for premium access to the service its already powering microsofts bing search engine platform the tech giant has invested 10b into openai in a live demo it generated an answer to a complicated tax query  although there was no way to verify its answer gpt4 like chatgpt is a type of generative artificial intelligence generative ai uses algorithms and predictive text to create new content based on prompts an image of the gpt4 website gpt4 generates recipes from an image gpt4 has more advanced reasoning skills than chatgpt openai said the model can for example find available meeting times for three schedules openai also announced new partnerships with language learning app duolingo and be my eyes an application for the visually impaired to create ai chatbots which can assist their users using natural language
2023-07-11,Anthropic releases Claude 2,its secondgen ai chatbotanthropic the ai startup cofounded by exopenai execs today announced the release of a new textgenerating ai model claude 2 the successor to anthropics first commercial model claude 2 is available in beta starting today in the us and uk both on the web and via a paid api in limited access the api pricing hasnt changed 00465 to generate 1000 words and several businesses have already begun piloting claude 2 including the generative ai platform jasper and sourcegraph we believe that its important to deploy these systems to the market and understand how people actually use them sandy banerjee the head of gotomarket at anthropic told techcrunch in a phone interview we monitor how theyre used how we can improve performance as well as capacity  all those things like the old claude claude 13 claude 2 can search across documents summarize write and code and answer questions about particular topics but anthropic claims that claude 2  which techcrunch wasnt given the opportunity to test prior to its rollout  is superior in several areas for instance claude 2 scores slightly higher on a multiple choice section of the bar exam 765 versus claude 13s 73 its capable of passing the multiple choice portion of the us medical licensing exam and its a stronger programmer achieving 712 on the codex human level python coding test compared to claude 13s 56 claude 2 can also answer more math problems correctly scoring 88 on the gsm8k collection of gradeschoollevel problems  28 percentage points higher than claude 13 weve been working on improving the reasoning and sort of selfawareness of the model so its more aware of heres how i like follow instructions im able to process multistep instructions and also more aware of its limitations banerjee said claude 2 was trained on more recent data  a mix of websites licensed data sets from third parties and voluntarilysupplied user data from early 2023 roughly 10 of which is nonenglish  than claude 13 which likely contributed to the improvements unlike openais gpt4 claude 2 cant search the web but the models arent that different architecturally  banerjee characterized claude 2 as a tweaked version of claude 13 the product of two or so years of work rather than a new creation claude 2 isnt vastly changed from the last model  its a product of our continuous iterative approach to model development she said were constantly training the model  and monitoring and evaluating the performance of it to wit claude 2 features a context window thats the same size of claude 13s  100000 tokens context window refers to the text the model considers before generating additional text while tokens represent raw text eg the word fantastic would be split into the tokens fan tas and tic indeed 100000 tokens is still quite large  the largest of any commercially available model  and gives claude 2 a number of key advantages generally speaking models with small context windows tend to forget the content of even very recent conversations moreover large context windows enable models to generate  and ingest  much more text claude 2 can analyze roughly 75000 words about the length of the great gatsby and generate 4000 tokens or around 3125 words claude 2 can theoretically support an even larger context window  200000 tokens  but anthropic doesnt plan to support this at launch the models better at specific textprocessing tasks elsewhere like producing correctlyformatted outputs in json xml yaml and markdown formats but what about the areas where claude 2 falls short after all no models perfect see microsofts aipowered bing chat which at launch was an emotionally manipulative liar indeed even the best models today suffer from hallucination a phenomenon where theyll respond to questions in irrelevant nonsensical or factually incorrect ways theyre also prone to generating toxic text a reflection of the biases in the data used to train them  mostly web pages and social media posts users were able to prompt an older version of claude to invent a name for a nonexistent chemical and provide dubious instructions for producing weaponsgrade uranium they also got around claudes builtin safety features via clever prompt engineering with one user showing that they could prompt claude to describe how to make meth at home anthropic says that claude 2 is 2x better at giving harmless responses compared to claude 13 on an internal evaluation but its not clear what that metric means is claude 2 two times less likely to respond with sexism or racism two times less likely to endorse violence or selfharm two times less likely to generate misinformation or disinformation anthropic wouldnt say  at least not directly a whitepaper anthropic released this morning gives some clues in a test to gauge harmfulness anthropic fed 328 different prompts to the model including jailbreak prompts released online in at least one case a jailbreak caused claude 2 to generate a harmful response  less than claude 13 but still significant when considering how many millions of prompts the model might respond to in production the whitepaper also shows that claude 2 is less likely to give biased responses than claude 13 on at least one metric but the anthropic coauthors admit that part of the improvement is due to claude 2 refusing to answer contentious questions worded in ways that seem potentially problematic or discriminatory revealingly anthropic advises against using claude 2 for applications where physical or mental health and wellbeing are involved or in high stakes situations where an incorrect answer would cause harm take that how you will our internal red teaming evaluation scores our models on a very large representative set of harmful adversarial prompts banerjee said when pressed for details and we do this with a combination of automated tests and manual checks anthropic wasnt forthcoming about which prompts tests and checks it uses for benchmarking purposes either and the company was relatively vague on the topic of data regurgitation where models occasionally paste data verbatim from their training data  including text from copyrighted sources in some cases ai model regurgitation is the focus of several pending legal cases including one recently filed by comedian and author sarah silverman against openai and meta understandably it has some brands wary about liability training data regurgitation is an active area of research across all foundation models and many developers are exploring ways to address it while maintaining an ai systems ability to provide relevant and useful responses silverman said there are some generally accepted techniques in the field including deduplication of training data which has been shown to reduce the risk of reproduction in addition to the data side anthropic employs a variety of technical tools throughout model development from  productlayer detection to controls one catchall technique the company continues to trumpet is constitutional ai which aims to imbue models like claude 2 with certain values defined by a constitution constitutional ai which anthropic itself developed gives a model a set of principles to make judgments about the text it generates at a high level these principles guide the model to take on the behavior they describe  eg nontoxic and helpful anthropic claims that thanks to constitutional ai claude 2s behavior is both easier to understand and simpler to adjust as needed compared to other models but the company also acknowledges that constitutional ai isnt the endall beall of training approaches anthropic developed many of the principles guiding claude 2 through a trialanderror process it says and has had to make repeated adjustments to prevent its models from being too judgmental or annoying in the whitepaper anthropic admits that as claude becomes more sophisticated its becoming increasingly difficult to predict the models behavior in all scenarios over time the data and influences that determine claudes personality and capabilities have become quite complex the whitepaper reads its become a new research problem for us to balance these factors track them in a simple automatable way and generally reduce the complexity of training claude eventually anthropic plans to explore ways to make the constitution customizable  to a point but it hasnt reached that stage of the product development roadmap yet were still working through our approach banerjee said we need to make sure as we do this that the model ends up as harmless and helpful as the previous iteration as weve reported previously anthropics ambition is to create a nextgen algorithm for ai selfteaching as it describes it in a pitch deck to investors such an algorithm could be used to build virtual assistants that can answer emails perform research and generate art books and more  some of which weve already gotten a taste of with the likes of gpt4 and other large language models claude 2 is a step toward this  but not quite there anthropic competes with openai as well as startups such as cohere and ai21 labs all of which are developing and productizing their own textgenerating  and in some cases imagegenerating  ai systems google is among the companys investors having pledged 300 million in anthropic for a 10 stake in the startup the others are spark capital salesforce ventures zoom ventures sound ventures menlo ventures the center for emerging risk research and a medley of undisclosed vcs and angels to date anthropic which launched in 2021 led by former openai vp of research dario amodei has raised 145 billion at a valuation in the singledigit billions while that might sound like a lot its far short of what the company estimates itll need  5 billion over the next two years  to create its envisioned chatbot
2023-07-18,Meta and Microsoft Introduce the Next Generation of Llama,recent breakthroughs in ai and generative ai in particular have captured the publics imagination and demonstrated what those developing these technologies have long known  they have the potential to help people do incredible things create a new era of economic and social opportunities and give individuals creators and businesses new ways to express themselves and connect with people we believe an open approach is the right one for the development of todays ai models especially those in the generative space where the technology is rapidly advancing by making ai models available openly they can benefit everyone giving businesses startups entrepreneurs and researchers access to tools developed at a scale that would be challenging to build themselves backed by computing power they might not otherwise access will open up a world of opportunities for them to experiment innovate in exciting ways and ultimately benefit from economically and socially and we believe its safer opening access to todays ai models means a generation of developers and researchers can stress test them identifying and solving problems fast as a community by seeing how these tools are used by others our own teams can learn from them improve those tools and fix vulnerabilities meta has put exploratory research open source and collaboration with academic and industry partners at the heart of our ai efforts for over a decade weve seen firsthand how innovation in the open can lead to technologies that benefit more people dozens of large language models have already been released and are driving progress by developers and researchers theyre being used by businesses as core ingredients for new generative aipowered experiences weve been blown away by the huge demand for llama 1 from researchers  with more than 100000 requests for access to the large language model  and the amazing things theyve achieved by building on top of it were now ready to open source the next version of llama 2 and are making it available free of charge for research and commercial use were including model weights and starting code for the pretrained model and conversational finetuned versions too as satya nadella announced on stage at microsoft inspire were taking our partnership to the next level with microsoft as our preferred partner for llama 2 and expanding our efforts in generative ai starting today llama 2 is available in the azure ai model catalog enabling developers using microsoft azure to build with it and leverage their cloudnative tools for content filtering and safety features it is also optimized to run locally on windows giving developers a seamless workflow as they bring generative ai experiences to customers across different platforms llama 2 is available through amazon web services aws hugging face and other providers too people and businesses have benefited from the longstanding partnership between microsoft and meta together weve introduced an open ecosystem for interchangeable ai frameworks and weve coauthored research papers to advance the state of the art in ai weve collaborated to scale the adoption of pytorch  todays leading ai framework created by meta and the ai community  on azure and were among the founding members of the pytorch foundation microsoft and meta recently joined a cohort of supporters that endorse the partnership on ais framework for collective action in the creation and sharing of synthetic media our partnership extends outside of ai and into the metaverse too to deliver immersive experiences for the future of work and play now with this expanded partnership microsoft and meta are supporting an open approach to provide increased access to foundational ai technologies to the benefits of businesses globally its not just meta and microsoft that believe in democratizing access to todays ai models we have a broad range of diverse supporters around the world who believe in this approach too  including companies that have given us early feedback and are excited to build new products with llama 2 cloud providers that will include llama 2 in their offerings for customers research institutions who are collaborating with us on the safe and responsible deployment of large generative models and people across tech academia and policy who see the benefits as we do a focus on responsibility our open source approach promotes transparency and access we know that while ai has brought huge advances to society it also comes with risk we are committed to building responsibly and are providing a number of resources to help those who use llama 2 do so too redteaming exercises our finetuned models have been redteamed  tested for safety  through internal and external efforts the team worked to generate adversarial prompts to facilitate model finetuning in addition we commissioned third parties to conduct external adversarial testing across our finetuned models to similarly identify gaps in performance these safety finetuning processes are iterative we will continue to invest in safety through finetuning and benchmarking and plan to release updated finetuned models based on these efforts transparency schematic we explain our finetuning and evaluation methods for the model and identify its shortcomings our transparency schematic which is located within the research paper discloses known challenges and issues weve experienced and provides insight into mitigations taken and future ones we intend to explore responsible use guide we created this guide as a resource to support developers with best practices for responsible development and safety evaluations it outlines best practices reflective of current stateoftheart research on responsible generative ai discussed across the industry and the ai research community acceptable use policy we put a policy in place that prohibits certain use cases to help ensure that these models are being used fairly and responsibly meta has also created new initiatives to harness the insight and creativity of individuals researchers and developers around the world to get feedback on how the models are performing and how they might be improved open innovation ai research community today we also launched a new partnership program for academic researchers that aims to deepen our understanding of the responsible development and sharing of large language models researchers may apply to join a community of practitioners to share learnings on this important topic and the community will form a research agenda to pursue going forward llama impact challenge we want to activate the community of innovators who aspire to use llama to solve hard problems we are launching a challenge to encourage a diverse set of public nonprofit and forprofit entities to use llama 2 to address environmental education and other important challenges the challenge rules will be available prior to the start of it conclusion throughout our companys history weve experienced the benefits of an open source approach when innovating in other areas of the business our engineers developed and shared frameworks that are now industry standards  like react a leading framework for making web and mobile applications and pytorch which is now the leading framework for ai these became commonly used infrastructure for the entire technology industry we believe that openly sharing todays large language models will support the development of helpful and safer generative ai too we look forward to seeing what the world builds with llama 2
2023-07-27,Mistral AI Unveils Mistral 7B,mistral ai has released its latest model mistral 7b boasting 73 billion parameters while delivering toptier performance across various benchmarks what sets mistral 7b apart is its efficiency and adaptability as it challenges the performance of much larger models such as llama 2 13b and llama 1 34b key features high performance mistral 7b excels in benchmarks ranging from commonsense reasoning to coderelated tasks surpassing much larger models like llama 2 13b and approaching the performance of codellama 7b groupedquery attention gqa the model employs gqa to speed up inference times allowing for faster responses sliding window attention swa to manage longer sequences without compromising on computational efficiency the model uses swa which has a linear computational cost performance metrics mistral ai reevaluated all models in a headtohead comparison using their evaluation pipeline the metrics included commonsense reasoning world knowledge reading comprehension math and code tasks mistral 7b exceeded expectations even when compared to models with a much larger number of parameters technical nuances the models use of swa provides a linear computational cost while layered attention mechanisms allow information to travel further back in a sequence than initially suggested moreover the swa implementation coupled with changes to flashattention and xformers results in a 2x speed improvement for sequences of length 16000 with a window of 4000 availability and licensing released under the apache 20 license mistral 7b can be freely used and deployed on various platforms including aws gcp and azure the model is also compatible with huggingface and mistral ai provides a finetuned version for chat applications to demonstrate the models versatility the prevailing trend more compute more power in the ai world a prevalent trend has dominated the last few years the larger the model and the more computational power thrown at it the better the performance this idea has largely fueled the race for everbigger models with increasingly gargantuan numbers of parameters megacorporations and academic institutions alike have leaned into this leading to breakthroughs and escalating costs energy consumption and barriers to entry efficiency and elegance however an alternative approach is starting to gain traction the idea is simple but transformative what if we could maintain or even surpass existing performance levels with models that are not only smaller but also more computationally efficient the release of mistral 7b showed us that a 73b parameter model could not only compete with but often surpass models with 13b or even 34b parameters in benchmark tests this efficiency could redefine whats possible with machine learning and natural language processing
2023-10-17,"Baidu Launches ERNIE 4.0 Foundation Model, Leading a New Wave of AI-Native Applications",ernie 40 is now accessible to invited users on ernie bot in addition enterprise customers can apply for api testing via baidu qianfan foundation model platform baidu has rebuilt many of its most popular applications using the latest generative ai technologies as well as introduced new ainative products offering improved productivity and creativity for a wide range of usage scenarios beijing baidu inc nasdaq bidu and hkex 9888 a leading ai company with strong internet foundation today hosted its annual flagship technology conference baidu world 2023 in beijing marking the conferences return to an offline format after four years with the theme prompt the world this years baidu world conference saw baidu launch ernie 40 baidus nextgeneration and most powerful foundation model offering drastically enhanced core ai capabilities baidu also showcased some of its most popular applications solutions and products rebuilt around the companys stateoftheart generative ai
2023-12-03,"Google launches its largest and ‘most capable’ AI model, Gemini",google is launching what it considers its largest and most capable artificial intelligence model wednesday as pressure mounts on the company to answer how itll monetize ai the large language model gemini will include a suite of three different sizes gemini ultra its largest most capable category gemini pro which scales across a wide range of tasks and gemini nano which it will use for specific tasks and mobile devices for now the company is planning to license gemini to customers through google cloud for them to use in their own applications starting dec 13 developers and enterprise customers can access gemini pro via the gemini api in google ai studio or google cloud vertex ai android developers will also be able to build with gemini nano gemini will also be used to power google products like its bard chatbot and search generative experience which tries to answer search queries with conversationalstyle text sge is not widely available yet san francisco california  november 16 google ceo sundar pichai speaks in conversation with emily chang during the apec ceo summit at moscone west on november 16 2023 in san francisco california the apec summit is being held in san francisco and runs through november 17 photo by justin sullivangetty images google ceo sundar pichai speaks in conversation with emily chang during the apec ceo summit at moscone west on november 16 2023 in san francisco california the apec summit is being held in san francisco and runs through november 17 justin sullivan  getty images news  getty images companies and enterprises could use it for more advanced customer service engagement via chatbots and product recommendations as well as identifying trends for companies looking to advertise products gemini could also be used for content creation if a company wants to create marketing campaigns or blog content as well as productivity apps that may want to summarize meetings or generate code for developers the company gave examples including showing gemini being able to take a screenshot of a chart and analyzing hundreds of pages from research and then updating the chart another example was analyzing a photo of a persons math homework and identifying correct answers and pointing out incorrect ones gemini ultra is the first model to outperform human experts on mmlu massive multitask language understanding which uses a combination of 57 subjects such as math physics history law medicine and ethics for testing both world knowledge and problemsolving abilities the company said in a blog post wednesday it can supposedly understand nuance and reasoning in complex subjects sundar pichai chief executive officer of alphabet inc during the google io developers conference in mountain view california us on wednesday may 10 2023 google introduced a new large language model used for training artificial intelligence tools like chatbots known as palm 2 and said it has already woven it into many of the internet search companys marquee products photographer david paul morrisbloomberg via getty images sundar pichai chief executive officer of alphabet inc during the google io developers conference in mountain view california us on wednesday may 10 2023 david paul morris  bloomberg  getty images gemini is the result of largescale collaborative efforts by teams across google including our colleagues at google research wrote ceo sundar pichai in a blog post wednesday it was built from the ground up to be multimodal which means it can generalize and seamlessly understand operate across and combine different types of information including text code audio image and video starting today googles chatbot bard will use gemini pro to help with advanced reasoning planning understanding and other capabilities early next year it will launch bard advanced which will use gemini ultra executives said on a call with reporters tuesday it represents the biggest update to bard its chatgptlike chatbot the update comes eight months after the search giant first launched bard and one year after openai launched chatgpt on gpt35 in march of this year the sam altmanled startup launched gpt4 executives said tuesday that gemini pro outperformed gpt35 but dodged questions about how it stacked up against gpt4 however geminis ultra model outperformed gpt4 in a few benchmarks according to a white paper google released wednesday when asked if google has plans to charge for access to bard advanced googles general manager for bard sissie hsiao said it is focused on creating a good experience and doesnt have any monetization details yet when asked on a press briefing if gemini has any novel capabilities compared with current generation llms eli collins vice president of product at google deepmind answered i suspect it does but that its still working to understand gemini ultras novel capabilities google reportedly postponed the launch of gemini because it wasnt ready bringing back memories of the companys rocky rollout of its ai tools at the beginning of the year multiple reporters asked about the delay to which collins answered that testing the more advanced models take longer collins said gemini is the most highly tested ai model that the companys built and that it has the most comprehensive safety evaluations of any google model collins said that despite being its largest model gemini ultra is significantly cheaper to serve its not just more capable its more efficient he said we still require significant compute to train gemini but were getting much more efficient in terms of our ability to train these models collins said the company will release a technical white paper with more details of the model on wednesday but said it wont be releasing the perimeter count earlier this year cnbc found googles palm 2 large language model its latest ai model at the time used nearly five times the amount of text data for training as its predecessor llm also on wednesday google introduced its nextgeneration tensor processing unit for training ai models the tpu v5p chip which salesforce and startup lightricks have begun using offers better performance for the price than the tpu v4 announced in 2021 google said but the company didnt provide information on performance compared with market leader nvidia  the chip announcement comes weeks after cloud rivals amazon and microsoft showed off custom silicon targeting ai during googles thirdquarter earnings conference call in october investors asked executives more questions about how its going to turn ai into actual profit in august google launched an early experiment called search generative experience or sge which lets users see what a generative ai experience would look like when using the search engine  search is still a major profit center for the company the result is more conversational reflecting the age of chatbots however it is still considered an experiment and has yet to launch to the general public investors have been asking for a timeline for sge since may when the company first announced the experiment at its annual developer conference google io the gemini announcement wednesday hardly mentioned sge and executives were vague about its plans to launch to the general public saying that gemini would be incorporated into it in the next year this new era of models represents one of the biggest science and engineering efforts weve undertaken as a company pichai said in wednesdays blog post im genuinely excited for whats ahead and for the opportunities gemini will unlock for people everywhere
2024-03-04,Anthropic releases more powerful Claude 3 AI as tech race continues,march 4 reuters  anthropic a startup backed by google googlo opens new tab and amazoncom amzno on monday revealed a suite of artificial intelligence models known as claude 3 the latest salvo in silicon valleys near incessant contest to market stillmore powerful technology according to the startup the most capable in the family claude 3 opus outperforms rival models gpt4 from openai and gemini 10 ultra from google on various benchmark exams this is the rollsroyce of models at least at this point in time ceo dario amodei said in an interview advances from anthropics competitors have already been previewed or are expected and reuters was unable to verify the claims independently the news on the heels of myriad rival announcements and anthropics claude 2 release in july shows how companies are vying to top charts that rank ai performance at the same time as business customers are still grappling with how to put such technology to use anthropics president daniela amodei said customers would opt for claude 3 opus despite a higher price tag if they had a need for the most cognitively complex tasks for instance handling a complicated financial analysis accurately anthropic said it would charge 15 for claude 3 opus to take in every 1 million pieces of data known as tokens and at least five times less for its smaller models to handle the same by contrast openai charges 10 for each million tokens entered into its gpt4 turbo model anthropic also said claude 3 is its first multimodal ai suite this means like some other rival model anthropics ai can respond to text queries and to images for instance analyzing a photo or chart popularized by openais chatgpt such generative ai creates new content on command ceo amodei said claude 3 would examine though not produce images because weve seen much less enterprise demand for them google last month paused imagegeneration features for its gemini chatbot after the service flubbed on diversity
2024-07-24,Meta unveils biggest Llama 3 AI model,touting language and math gainsmeta platforms metao opens new tab released the biggest version of its mostly free llama 3 artificial intelligence models on tuesday boasting multilingual skills and general performance metrics that nip at the heels of paid models from rivals like openai the new llama 3 model can converse in eight languages write higherquality computer code and solve more complex math problems than previous versions the facebook parent company said in blog posts and a research paper announcing the release with 405 billion parameters or variables that the algorithm takes into account to generate responses to user queries it dwarfs the previous version released last year though is still smaller than leading models offered by competitors openais gpt4 model by contrast is reported to have one trillion parameters and amazon is preparing a model with 2 trillion parameters promoting llama 3 across multiple channels chief executive mark zuckerberg said he expected future llama models would overtake proprietary competitors by next year the meta ai chatbot powered by those models was on track to become the most popular ai assistant by the end of this year with hundreds of millions of people using it already he said
2024-09-13,OpenAI Releases o1-preview,openai has released o1preview the first in a new series of ai models designed to tackle complex reasoning tasks by spending more time thinking through problems before responding while o1preview is available now in chatgpt and through openais api it serves as a preview of the full o1 model which is currently in develoapment and shows even greater potential in internal evaluations this article explores how the o1 series works highlighting its strengths weaknesses and performance compared to gpt4o how it works the o1 series including both o1preview and the upcoming full o1 model introduces a new approach that emphasizes the models ability to think deeply and refine its responses unlike previous models like gpt4o which prioritize speed and versatility o1 models are trained to reason stepbystep exploring different strategies and learning from their mistakes this processing enables the models to excel in structured tasks that require analytical depth such as science mathematics and coding the training process focuses on challenging tasks that encourage the models to use a chain of thought similar to how a human might solve a problem through reinforcement learning o1 models learn to break down complex tasks recognize errors and adjust their approaches dynamically leading to significant improvements in performance over gpt4o strengths of the o1 models the o1 series demonstrates exceptional strengths in reasoningheavy domains particularly in technical subjects in internal benchmarks the upcoming full o1 model performs at a level comparable to phd students in fields like physics chemistry and biology showing substantial improvements over gpt4o for example in phdlevel science questions gpqa diamond the o1 model surpassed even expert human performance with a score of 78 while gpt4o managed only 56 in mathematics the leap is even more pronounced during the 2024 american invitational mathematics examination aime gpt4o solved only 13 of problems highlighting its limitations in complex reasoning in contrast o1preview scored 567 and the full o1 model reached 83 placing it among the top performers nationally and surpassing the cutoff for the usa mathematical olympiad these results demonstrate the models ability to handle highlevel reasoning tasks that are challenging even for human experts in coding the o1 models also excelled on the codeforces platform which evaluates competitive programming skills o1preview achieved an elo rating of 1258 reaching the 62nd percentile among human competitors the full o1 model however advanced even further achieving an elo of 1673 and ranking in the 89th percentile showcasing its sophisticated understanding of algorithms and problemsolving strategies scaling performance at test time a key aspect of the o1 models design is its ability to scale performance with increased compute time during both training and testing as shown in the evaluation graphs the o1 models accuracy improves steadily with more computational resources notably the models performance at test time sees significant gains with accuracy consistently rising as testtime compute is scaled up this capability allows o1 to dynamically refine its responses particularly in complex tasks where thoughtful reasoning and additional compute can lead to better outcomes weaknesses and limitations while o1preview demonstrates impressive reasoning skills it has some limitations compared to the full o1 model and gpt4o in certain use cases as an early iteration o1preview lacks some of the practical features that make gpt4o versatile such as web browsing file uploads and image processing which restricts its capabilities in realtime information retrieval and multimedia tasks additionally the deliberate and thoughtful reasoning approach of o1preview means that it can be slower in generating responses which may not be ideal for tasks requiring quick answers in contrast gpt4o remains a more suitable choice for generalpurpose applications where speed and broad utility are prioritized future developments and the path to full o1 openai continues to develop the full o1 model building on the foundations laid by o1preview future updates will focus on refining the models reasoning abilities expanding its features and enhancing its overall performance the goal is to create a model that not only excels in complex problemsolving but also integrates more practical capabilities making it a powerful tool across a wider range of applications conclusion the release of o1preview marks an important step forward in openais pursuit of ai models that can think more deeply and solve more complex problems while o1preview already showcases strong performance in reasoningheavy tasks like science coding and math the best is yet to come with the full release of the o1 model as openai continues to innovate the o1 series promises to redefine the capabilities of ai in advanced problemsolving setting a new benchmark for the future of artificial intelligence
2024-12-09,OpenAI releases Sora,its buzzy ai videogeneration toolopenai which burst into the mainstream last year thanks to the viral popularity of chatgpt first announced sora in february and itll roll out to users in the us and other countries monday the ai videogeneration model works similarly to openais imagegeneration ai tool dalle a user types out a desired scene and sora will return a highdefinition video clip we obviously have a big target on our back as openai rohan sahai openais sora product lead said on the livestream adding that the company needs to prevent illegal use of the technology
