publish_date,source,url,title,summary,summary_sentiment_score
2024-10-30 08:25:00,MarketWatch,https://www.marketwatch.com/story/amds-stock-is-getting-hurt-by-this-unpalatable-reality-3e388d46?gaa_at=eafs&gaa_n=AWEtsqckFNYb8p-Qjn-YnFBqV5EHJp9li7UZs3Z5pGu4pvl9vh6bPUyo7hF7&gaa_ts=69074b16&gaa_sig=T0kjmSN-6DaBvIq1BImeFmqf7c0hnAXTHUE2AlOspAqNTiXiSA3vx8w_Nb2uiw5Ab-Me6bhF2rYuln63jKpH-Q%3D%3D,AMD’s stock is getting hurt by this ‘unpalatable’ reality,"Advanced Micro Devices Inc. (AMD) shares are underperforming compared to other AI stocks in 2024, despite boosting its full-year AI revenue forecast. The reason for the muted performance is AMD's overall revenue outlook for the fourth quarter, which fell short of analyst expectations. This ""unpalatable"" reality contrasts with the strong growth seen in other AI-focused companies, according to one analyst.",0.7943
2024-10-10 20:17:00,MarketWatch,https://www.marketwatch.com/story/amds-ai-event-lacked-a-wow-factor-but-heres-one-reason-investors-should-be-excited-7fb442e2?gaa_at=eafs&gaa_n=AWEtsqd2uZfUms1TDEc7UdTUeLfE-ct4wLQAKx2EnCTlpRzjGkuCtXy_KPjG&gaa_ts=69074b5d&gaa_sig=8c7vFm_Sw_b-VQ_89umhJBrY8zsehJJUhvNrvs67gHeFoM0psWXw8eq86oPy0TXtI-cgERUGjJrc4s44SRmffw%3D%3D,"Opinion: AMD’s AI event lacked a wow factor, but here’s one reason investors should be excited","AMD's recent AI event, while lacking new customer announcements, gave investors a key reason for optimism: CEO Lisa Su's updated forecast for the AI accelerator chip market. Su now projects the market to reach over $500 billion by 2028, a significant increase from her previous forecast and representing an approximately 60% compounded annual growth rate from last year's $45 billion market. This revised outlook indicates strong anticipated growth in the AI sector.",0.9349
2024-10-07 10:16:00,MarketWatch,https://www.marketwatch.com/story/amds-stock-has-a-big-catalyst-on-the-horizon-can-it-live-up-to-the-hype-1a9e52b5?gaa_at=eafs&gaa_n=AWEtsqfnRC5_XqXQXkZjTlyj0AyL-06-mDKN-1dpVO1qi-CL3ttVFqp920YQ&gaa_ts=69074b1d&gaa_sig=nSqkqoMqx5RSRGhlFSqjDPi9REP637F-w_65lu3TAcR6paHTXkTP2RgshQ2BcA5VrhE9syg4sxbJJ-Qv9OUMQA%3D%3D,AMD’s stock has a big catalyst on the horizon. Can it live up to the hype?,"AMD's stock is poised for a potential rally following its upcoming Advancing AI event, where new product announcements, including the MI325X artificial-intelligence accelerator, are expected. While AMD's stock has underperformed the broader chip sector this year, investors are looking to CEO Lisa Su and her team to provide a significant catalyst similar to last year's event. The event is anticipated to cover news on AMD's CPUs, GPUs, and its broader software ecosystem.",0.4215
2023-11-14 16:36:00,MarketWatch,https://www.marketwatch.com/data-news/advanced-micro-devices-inc-stock-outperforms-market-on-strong-trading-day-ba09701b-4416b3d61f84?gaa_at=eafs&gaa_n=AWEtsqdqqNehoYXEUotXPLioLXfSvA6E5BD797npyETHSEBJYyLlmh5vnA1W&gaa_ts=69076852&gaa_sig=wDG02Wm7fYpQ2diW6UC7wiqaf6T6gFrbcOYMX49AdoUXIgesqO_g1KJaNQ3vONS3z0w1B5C0dZRu6b0HpdbqxA%3D%3D,Advanced Micro Devices Inc. stock outperforms market on strong trading day,"Shares of Advanced Micro Devices Inc. (AMD) rose by 2.65% to $119.88 on Tuesday, outperforming the broader market. This positive performance occurred on a strong trading day where the S&P 500 Index and Dow Jones Industrial Average also saw significant gains. The stock closed below its 52-week high of $132.83, which was achieved on June 13th.",0.9231
2023-10-25 16:37:00,MarketWatch,https://www.marketwatch.com/data-news/advanced-micro-devices-inc-stock-underperforms-wednesday-when-compared-to-competitors-e7e17979-956b01a59036?gaa_at=eafs&gaa_n=AWEtsqcr0La4I0T00ji8Fy8_XvgEz3SSGOIQ82u3calRQFUZP1dz-_tfisfk&gaa_ts=699a18b7&gaa_sig=JUY6repci55kmET3wYOOyeA1DqJ7z0R7XR6Zh0pXpWBtv39yMKXI5DWMfKeJTxIWPg8WXX6GOGSIUMTPw24GjA%3D%3D,Advanced Micro Devices Inc. stock underperforms Wednesday when compared to competitors,"Advanced Micro Devices Inc. (AMD) shares fell by 5.52% on Wednesday to $96.06, underperforming the broader stock market, which also experienced a rough trading session. The S&P 500 Index dropped 1.43%, and the Dow Jones Industrial Average declined 0.32%. AMD's closing price was $36.78 below its 52-week high of $132.83, achieved in June.",0.4939
2023-06-26 15:09:00,MarketWatch,https://www.marketwatch.com/story/amds-stock-on-track-for-seventh-straight-losing-session-c5fb94c0?gaa_at=eafs&gaa_n=AWEtsqd4FRo9FT99AUBuoxGFL_Djrqysyp2YS2tIHY9CUb4Lz4ueJ5SWby3Z&gaa_ts=69076865&gaa_sig=_fdCZ0zlEN46JGrfZGFLmxo-sAXtArC7ymjpF558JHEPOhjKpklB1hsc0uLzl9pf7zo2pI6PXl6kvPLZ4G_vtw%3D%3D,"AMD, Broadcom stocks both drop for seventh straight session","Advanced Micro Devices Inc. (AMD) and Broadcom Inc. (AVGO) experienced their seventh consecutive day of stock losses on Monday, marking their worst losing streaks since 2022. AMD shares fell 2.3% to close at $107.51, which is 33.6% below their record high from November 2021.",-0.7351
2023-05-02 21:18:00,MarketWatch,https://www.marketwatch.com/story/amd-stock-is-sliding-after-earnings-and-these-numbers-show-why-43246062?gaa_at=eafs&gaa_n=AWEtsqd4llyAtjGuulU-T_urlvYIQaT0t78a21uw60yTftniacX35Iuo6p8A&gaa_ts=69076852&gaa_sig=6NmkeKJCh4HfkV5ZBS-E6tITDvfsGtRqdIPaCoQXDp_Fnam-oViEWXvlJCuW_uPVz_gaVsLoh5V_o7keZV0NFQ%3D%3D,"Opinion: AMD stock is sliding after earnings, and these numbers show why","Advanced Micro Devices (AMD) stock slid significantly after the company reported a first-quarter net loss of $139 million and a revenue decline to $5.3 billion. This downturn was largely attributed to substantial drops in PC sales and gaming, exacerbated by a big decline in profit for its key data-center group and an unoptimistic forecast. The chip maker's overall margin was severely impacted, leading to a nearly 7% drop in its shares in after-hours trading.",0.128
2023-02-09 10:19:00,Reuters,https://www.reuters.com/technology/amd-wins-nearly-third-processor-market-arms-climb-slows-analyst-report-2023-02-09/,"AMD wins nearly a third of processor market, Arm's climb slows: analyst report","AMD has significantly increased its market share in central processor units, capturing nearly a third of the x86 processor market from Intel, according to a recent analyst report from Mercury Research. This growth occurred during the worst PC chip market downturn since the 1980s. Meanwhile, Arm's rise in the PC market, primarily driven by Apple's Mac computers, slowed in the fourth quarter of 2022.",0.2023
2023-01-31 19:15:00,CNBC,https://www.cnbc.com/2023/01/31/why-amd-is-faring-much-better-than-intel-in-the-same-tough-economy.html,Why AMD is faring much better than Intel in the same tough economy,"AMD is showing a much brighter short-term outlook compared to Intel, despite both operating in a difficult chip market. While Intel faces widespread declines, AMD's data center business is experiencing growth, aided by new chip introductions and its acquisition of Xilinx. Both companies are affected by a slumping PC market, but AMD expects to gain market share in that segment and grow its data center revenue at Intel's expense this year.",0.8381
2023-01-27 18:00:00,MarketWatch,https://www.marketwatch.com/story/amd-earnings-face-even-more-scrutiny-after-astonishingly-bad-intel-outlook-11674860408?gaa_at=eafs&gaa_n=AWEtsqdUvWgRmsAXME9IBd9djLzv-7OegjYH95baqsUKHwuePOEmt7VSs7nR&gaa_ts=69076847&gaa_sig=EpT_vEFAjzrJdEXQmJ3bBYOvFBLoVS0B52IiyX1XSOrG2BsZ9U7yiLAKcGyWPQKkFe2wzOpYNsgs5h7F-R6N2A%3D%3D,AMD earnings face even more scrutiny after ‘astonishingly bad’ Intel outlook,"AMD's upcoming earnings report is under increased scrutiny following Intel's ""astonishingly bad"" outlook, particularly regarding inventory and data-center issues. CEO Lisa Su had previously expressed confidence that AMD would end 2022 in a stronger position, and the market will now evaluate that claim in light of rival Intel's struggles. AMD is scheduled to report its results after market close on Tuesday.",0.25
2023-01-23 10:21:00,MarketWatch,https://www.marketwatch.com/story/amd-can-keep-eating-intels-lunch-barclays-says-as-stock-surges-11674487293?gaa_at=eafs&gaa_n=AWEtsqeIgNpbOdbJ2HG1Z0pvkWJ8tByw7-g__IuAgbPdfeIZZAwy5UZyvwNP&gaa_ts=6907684c&gaa_sig=L4JrXo3n3YUab-aY_Z8VPo3r-24gtnQXuetkbouXmpFe1-iRUlj0iUPBEVYeqJsRGgisEJeOonUbWvSSFXU72g%3D%3D,"AMD can keep eating Intel’s lunch, Barclays says as stock surges","Barclays upgraded AMD's stock to overweight from equal weight, leading to a more than 6% surge in AMD shares. Analyst Blayne Curtis believes AMD's Genoa and Bergamo platforms will enable further market-share gains against Intel. The upgrade also suggests AMD could benefit from Meta reaccelerating its spending.",0.6249
2023-01-11 16:36:00,MarketWatch,https://www.marketwatch.com/story/amd-poaches-marvells-jean-hu-for-cfo-slot-as-devinder-kumar-retires-11673472990?gaa_at=eafs&gaa_n=AWEtsqeGOX2EnxvAHAFtwGnKgBsZa5gLc7i7hPli0g8Yyv94XGZaEiwuh8UR&gaa_ts=69076865&gaa_sig=IMoBzmziRrgGZiHxIYgQyyPw06v1BcFa1JYDGKNmqvwsNgIwFeqdQDymBMLThNBQOXjhUsbybDoM4pwOqjCkag%3D%3D,AMD poaches Marvell’s Jean Hu for CFO slot as Devinder Kumar retires,"Advanced Micro Devices Inc. announced that its financial chief Devinder Kumar is retiring, and Jean Hu from Marvell Technology Inc. will take his place as CFO. Marvell confirmed Hu's departure effective January 20, while AMD expects Hu to start on January 23. This change marks a significant leadership transition for AMD's financial department.",0.7096
2022-11-10 06:00:16,Reuters,https://www.reuters.com/technology/amd-launches-data-center-cpu-genoa-taps-google-microsoft-customers-2022-11-10/,"AMD launches data center CPU 'Genoa', taps Google, Microsoft as customers (Nov. 10)","AMD has launched its fourth-generation EPYC processor, codenamed ""Genoa,"" for data centers, securing major customers like Microsoft Azure, Google Cloud, and Oracle. This new chip offers significant performance and energy efficiency improvements over its predecessor, translating into lower operational costs for enterprises and cloud data centers. The launch comes as rival Intel faces delays with its own data center chip, and AMD continues to gain market share, boosting its stock by about 14%.",0.9501
2021-12-23 10:37:00,Reuters,https://www.reuters.com/technology/amd-amends-agreement-with-globalfoundries-buy-21-bln-worth-wafers-2021-12-23/,"AMD amends GlobalFoundries deal, will buy $2.1 bln worth of wafers","Advanced Micro Devices (AMD) has amended its agreement with GlobalFoundries, committing to purchase approximately $2.1 billion worth of silicon wafers between 2022 and 2025. This updated deal expands upon a previous agreement to buy $1.6 billion worth of chips from 2022 to 2024. Although AMD relies on Taiwan Semiconductor Manufacturing Co for its most critical ""chiplets,"" GlobalFoundries, a former AMD spin-off, continues to supply components to tie their chips together.",0.8522
2021-10-26 16:27:00,CNBC,https://www.cnbc.com/2021/10/26/amd-earnings-q3-2021.html,AMD sales rise 54% on strong demand for chips for servers and game consoles,"AMD reported strong third-quarter earnings, beating analyst expectations for both revenue and EPS, driven by high demand for its chips in PCs, servers, and game consoles. The company also issued a robust forecast for the fourth quarter, expecting continued growth in server and semi-custom segments amidst ongoing chip shortages. AMD's strategic acquisition of Xilinx is proceeding, aiming to strengthen its position in the data center market.",0.6705
