publish_date,title,source,nvda_relevance,overall_sentiment_score,url,summary
2022-08-29 20:56:00,AMD launching what it claims is ‘fastest processer in the world for gaming’ in September,MarketWatch,0.647212,0.185227,https://www.marketwatch.com/story/amd-claims-its-launching-fastest-processer-in-the-world-for-gaming-in-september-11661820971?gaa_at=eafs&gaa_n=AWEtsqfV7JpU3g-9ciK5pQRdAacx7T9b6fXVG4WkS47T0LY_ynr8_q6gxYyk&gaa_ts=699ac6d6&gaa_sig=TJSL8c1zFt-4Csbe5SvDgTMkIk72_VLzIhkAhh5mkE8zDnvU0ud9dAK17TwT1mGrYP-7m87qS5VRe23-GpinWA%3D%3D,"AMD announced the launch of its new Ryzen 7000 series gaming processors, touted as the ""fastest processor in the world for gaming"" by CEO Lisa Su. The processors are based on a 5-nanometer Zen 4 core architecture. This release comes amidst a challenging period for PC sales, with the low-end Ryzen 5 7600x model priced at $299."
2022-08-25 11:08:00,AMD Set To Become TSMC’s Second Largest 5nm Customer Courtesy Of Ryzen 7000,Wccftech,0.624243,0.049854,https://wccftech.com/amd-set-to-become-tsmcs-second-largest-5nm-customer-courtesy-of-ryzen-7000/,"AMD is projected to become TSMC's second-largest customer for 5nm technology, primarily driven by its upcoming Ryzen 7000 series processors. These new CPUs, including desktop, notebook, and datacenter variants, will extensively utilize TSMC's 5nm process node. This increased demand will solidify AMD's position as a major client for the Taiwanese chip manufacturer, second only to Apple."
2022-08-24 16:45:00,"Nvidia sales forecast falls about $1 billion short of expectations, stock falls",MarketWatch,0.305622,0.037657,https://www.marketwatch.com/story/nvidia-sales-forecast-falls-about-1-billion-short-of-wall-street-expectations-11661373933?gaa_at=eafs&gaa_n=AWEtsqdL2VRhiXz7WrnGn8q3GD2oKMIOW2HGMg1vjnXHB0VfFLO5KYZwpqhM&gaa_ts=69079e73&gaa_sig=OBM1PeDUmj3ZwPMmK94X9cjSV99NdV3Y4JbJvncOJbg-RunRyExVmaAPBqeOpNoJtoptUPgbgk8o3MGDD-8XLA%3D%3D,"Nvidia's sales forecast for the current quarter fell approximately $1 billion short of analyst expectations, leading to a drop in its stock. The company confirmed a sharp reduction in profit and is working through inventory before releasing its new chip architecture. For the fiscal third quarter, Nvidia predicted revenue between $5.78 billion to $6.02 billion, while analysts had projected $6.91 billion."
2022-08-22 09:15:59,Intel shares new details about upcoming Meteor Lake processor series,SiliconANGLE,0.605617,0.187134,https://siliconangle.com/2022/08/22/intel-shares-new-details-upcoming-meteor-lake-processor-series/,"Intel has revealed new technical details about its upcoming Meteor Lake processor series, which will utilize chiplet technology for desktop and laptop CPUs. These processors will feature five chiplets, with the primary CPU module manufactured by Intel and other vital components like the GPU and I/O module produced by TSMC. This chiplet architecture allows for greater flexibility in design, improved manufacturing efficiency, and better performance through 3D stacking with Intel's Foveros technology."
2022-08-18 09:32:08,Report: Qualcomm plans to return to the server chip market,SiliconANGLE,0.593677,0.082383,https://siliconangle.com/2022/08/18/report-qualcomm-plans-return-server-chip-market/,"Qualcomm Inc. is reportedly planning to re-enter the server chip market four years after exiting it, seeking customers for a new server processor. This new processor is based on technology acquired from Nuvia Inc. for $1.4 billion and is being evaluated by Amazon Web Services Inc. The move aligns with Qualcomm's strategy to expand beyond mobile and boost revenue, potentially increasing competition for Intel Corp. and Advanced Micro Devices Inc."
2022-08-17 09:20:49,Lam Research to open its second R&D centre in India,www.varindia.com,0.62288,0.398655,https://www.varindia.com/news/lam-research-to-open-its-second-rd-centre-in-india,"US-based semiconductor equipment supplier Lam Research is establishing its second R&D center in India in September, aiming to enable local design completion and reduce reliance on its US counterparts. The new facility will feature an advanced hardware engineering lab for deposition, etching, and wet processing, alongside AR/VR capabilities. This expansion underscores India's growing importance in the semiconductor design ecosystem, despite the manufacturing sector being in its early stages."
2022-08-10 08:50:28,AMD Stock Is a Bargain,Morningstar,0.736077,0.085434,https://www.morningstar.com/stocks/amd-stock-is-bargain,"Morningstar considers AMD stock a bargain with a fair value estimate of $130 per share, giving it a 4-star rating and a narrow economic moat. The company is praised for its impressive growth, market share gains against Intel, and strong execution in new chip designs, especially in the data center and PC markets. However, high uncertainty remains due to the cyclical semiconductor industry and AMD's smaller scale compared to Intel and Nvidia."
2022-08-09 09:26:54,"NVIDIA Announces Major Release of Omniverse With New USD Connectors and Tools, Simulation Technologies and Developer Frameworks",NVIDIA Newsroom,1.0,0.541751,https://nvidianews.nvidia.com/news/nvidia-announces-major-release-of-omniverse-with-new-usd-connectors-and-tools-simulation-technologies-and-developer-frameworks,"NVIDIA has announced a major update to its Omniverse platform, introducing new developer frameworks, tools, apps, and plugins designed to build and connect metaverse worlds. These enhancements include AI-powered tools like Omniverse Avatar Cloud Engine, DeepSearch, and NeuralVDB, along with 11 new USD Connectors to integrate with leading 3D applications and CAD software. The updates aim to simplify virtual world creation and foster collaboration across industries, bridging the physical and virtual realms."
2022-08-09 09:26:54,NVIDIA and Partners Build Out Universal Scene Description to Accelerate Industrial Metaverse and Next Wave of AI,NVIDIA Newsroom,0.349243,0.043674,https://nvidianews.nvidia.com/news/nvidia-and-partners-build-out-universal-scene-description-to-accelerate-industrial-metaverse-and-next-wave-of-ai,"NVIDIA, in collaboration with Pixar, Adobe, Autodesk, Siemens, and other industry leaders, is launching a multi-year initiative to expand Universal Scene Description (USD) as a foundational language for the open metaverse and 3D internet. The effort aims to extend USD's capabilities beyond visual effects to support industrial applications like architecture, engineering, manufacturing, robotics, and digital twins, introducing features such as international character support, geospatial coordinates, and real-time IoT data streaming. NVIDIA is also providing open-source resources, a compatibility testing suite, and developing USD plugins for popular 3D software to accelerate its adoption across various industries."
2022-08-09 06:19:00,Cathie Wood sells Block shares to double down on Nvidia,The Block,0.833739,-0.079059,https://www.theblock.co/post/162357/cathie-wood-sells-block-shares-to-double-down-on-nvidia,"Ark Invest, led by Cathie Wood, sold over $20 million worth of Block (SQ) shares and simultaneously purchased over $65 million worth of Nvidia (NVDA) shares across three of its funds. This move follows Ark's previous decision to exit PayPal (PYPL) to bet on Block, and comes amidst macroeconomic turbulence causing significant losses in various asset classes, including Block and Bitcoin. Ark also recently sold Coinbase (COIN) shares due to regulatory uncertainty."
