event_date,publish_date,title,source,nvda_relevance,nvda_sentiment_score,overall_sentiment_score,url,summary,finbert_local_score
2022-08-09,2022-08-08 16:52:00,"Nvidia is hit by another ‘crypto hangover,’ and that isn’t the only problem",MarketWatch,1.0,-0.444147,-0.257635,https://www.marketwatch.com/story/nvidia-is-hit-by-another-crypto-hangover-and-that-isnt-the-only-problem-11659991965?gaa_at=eafs&gaa_n=AWEtsqeW-cx0JDHRHV3Ks0Ewpgy6BD9JozhLHTJzK5rnnK0qpmuCnHG9JYFw&gaa_ts=69079e81&gaa_sig=N3reemoQ7fRSkIUEelQCOA4MustJFnNvNaSAlRZNSZD7PsWNBz7mGgDdJ1Q9p1gg40nFD-oMmYChTH_MhwzWRw%3D%3D,"Nvidia is facing a ""crypto hangover"" and other issues as the pandemic-era booms in PC sales, videogames, and cryptocurrency decline. The company warned of a $1.4 billion revenue shortfall due to weak gaming equipment sales and excess inventory. Nvidia's stock fell 6.3% on the news, reflecting broader concerns about multiple challenges impacting its core business.",-0.9254774451255798
2022-08-09,2022-08-10 00:00:00,Chipmakers tumble on fears of worst downturn in 10 years,Al Jazeera,0.826207,-0.615213,-0.630879,https://www.aljazeera.com/economy/2022/8/10/chipmakers-tumble-on-fears-of-worst-downturn-in-a-decade,"Semiconductor stocks experienced a significant downturn following Micron Technology Inc.'s warning of slowing demand, raising concerns about the industry heading into a prolonged slump. Analysts believe the sector is entering its worst downturn in a decade, affecting every company and end market. Despite recent shortages and investments, the rapid evaporation of demand has taken experts by surprise, with some companies like Micron already cutting future spending.",-0.9449161291122437
2022-08-09,2022-08-08 21:52:00,Nvidia warns of lower second-quarter revenue on gaming weakness,Reuters,1.0,-0.475902,-0.339082,https://www.reuters.com/technology/nvidia-expects-second-quarter-revenue-drop-gaming-weakness-2022-08-08/,"Nvidia Corp warned of a 19% drop in second-quarter revenue from the prior quarter due to weakness in its gaming business, sending its shares down by about 8%. This follows similar warnings from other chipmakers and is attributed to consumers weighing purchases of discretionary items amidst economic concerns, as well as continued supply chain issues. The company expects to report overall Q2 revenue of approximately $6.70 billion, significantly below analyst estimates.",-0.9700484871864319
2022-08-09,2022-08-11 09:27:48,Thematic Times: Semiconductors Power Thematic Indexes,ETF Database,0.812899,0.305645,0.333031,https://etfdb.com/thematic-investing-content-hub/thematic-times-semiconductors-power-thematic-indexes/,"The article discusses how semiconductor technology drives many thematic investment indexes, particularly after the increased recognition of their importance due to pandemic-related supply issues. It highlights the impact of the newly signed CHIPS and Science Act, which provides significant subsidies to boost domestic chip manufacturing. The piece also explains how various thematic indexes, such as those for electric vehicles, streaming, gaming, and even space technology, are directly or indirectly exposed to the semiconductor industry and stand to benefit from these developments.",0.0
2023-03-22,2023-03-22 01:51:26,AB US Low Volatility Equity ETF Holdings,Quiver Quantitative,0.630443,0.136894,0.126565,https://www.quiverquant.com/etf/AB%20US%20Low%20Volatility%20Equity%20ETF,"This article details the holdings of the AB US Low Volatility Equity ETF (LOWV), which was established on March 22, 2023. The ETF focuses on large- and mid-cap US stocks, actively managed to achieve lower volatility than the broader market. Key holdings include major technology companies like Alphabet, Microsoft, Apple, NVIDIA, and Amazon, alongside diversified investments across various sectors.",0.0
2023-11-01,2023-11-03 08:39:32,"NVDY ETF Analysis: Dividends, Returns AMEX:NVDY",TradingView,0.881204,0.128114,0.134541,https://www.tradingview.com/symbols/AMEX-NVDY/analysis/,"This article provides an in-depth analysis of the YieldMax NVDA Option Income Strategy ETF (NVDY), highlighting its dividends, returns, and operational strategy. NVDY aims to generate monthly income by utilizing a synthetic covered call strategy on Nvidia stock, involving synthetic long exposure, covered call writing, and US Treasuries for collateral. Key financial metrics such as AUM, dividend yield, expense ratio, and recent performance are detailed, along with information on its top holdings and issuer.",0.0
2023-11-01,2023-11-02 19:59:30,Jabil takes on Intel's silicon photonics transceiver module business,Optics.org,0.647817,0.306561,0.302348,https://optics.org/news/14/11/3,"Jabil has acquired Intel's silicon photonics pluggable transceiver module business, integrating it into Jabil Photonics to expand its presence in the data center supply chain. This move allows Intel to focus on higher-value silicon photonics components for AI infrastructure, as part of its broader cost-cutting and portfolio optimization strategy. The acquisition aims to better position Jabil to address evolving data center demands, particularly those driven by artificial intelligence.",0.0
2023-11-01,2023-11-02 00:00:00,"Raspberry Pi Receives Strategic Investment from Arm, Further Extending Long-Term Partnership",Arm Newsroom,0.551857,0.218567,0.419345,https://newsroom.arm.com/news/raspberry-pi-investment,"Arm Holdings plc has made a strategic minority investment in Raspberry Pi Ltd, deepening their partnership that began in 2008. This investment aims to further enable the Internet of Things (IoT) developer community with low-cost, high-performance computing solutions built on Arm technology, particularly as edge compute and AI applications grow. Both companies share a vision to democratize technology and remove barriers to entry for innovation across various user groups.",0.9430700540542603
2023-11-01,2023-11-01 20:36:00,"Super Micro stock has surged this year, but investors may be overlooking a risk",MarketWatch,0.81866,0.299215,0.170901,https://www.marketwatch.com/story/this-nvidia-partner-has-seen-its-stock-surge-200-this-year-but-investors-may-be-overlooking-a-risk-75f0d9b0?gaa_at=eafs&gaa_n=AWEtsqfN2jfNIPgHPEirtbAkUIpmEymfu3yGINjwfIuoElHeZbLTtK_6R-yv&gaa_ts=69077e95&gaa_sig=HfgcXAo_veXRfwRyCMp_DWKM3RWX_HOeXqT6l0r8Mn1zlM3TOfBU5zzOj4g-2nRh4rIDsuVdiAgxFP97lRSl1w%3D%3D,"Super Micro Computer Inc., a partner of Nvidia, has seen its stock surge over 200% this year, fueled by AI-ready server sales. The company reported fiscal first-quarter revenue of $2.12 billion and raised its annual guidance to between $10 billion and $11 billion. However, investors are cautioned that the company's increasing reliance on AI-related server sales (now over half its revenue) could pose a risk.",-0.4927356243133545
2023-11-01,2023-11-03 11:45:00,"Fortinet (FTNT) Q3 Earnings Beat Expectations, Sales Miss",Nasdaq,0.648123,0.415837,0.308135,https://www.nasdaq.com/articles/fortinet-ftnt-q3-earnings-beat-expectations-sales-miss,"Fortinet (FTNT) reported mixed third-quarter 2023 results, with non-GAAP earnings per share of 41 cents surpassing the Zacks Consensus Estimate of 37 cents, an improvement of 41.4% year-over-year. However, total revenues of $1.33 billion missed the consensus mark by 1% despite a 16.1% year-over-year increase, driven by strong demand from small enterprise customers. The company provided guidance for Q4 and the full year 2023, while several analyst recommendations were mentioned.",0.9437347650527954
