publish_date,title,source,nvda_relevance,nvda_sentiment_score,overall_sentiment_score,url,summary
2023-06-27 18:30:00,Nvidia and AMD shares fall on report of new U.S. ban on AI chip exports to China,MarketWatch,1.0,-0.416548,-0.415059,https://www.marketwatch.com/story/nvidia-amd-stocks-fall-on-report-of-new-ai-chip-bans-from-biden-administration-a8574751?gaa_at=eafs&gaa_n=AWEtsqdOyZWDryqO8_cWZ-BEmoOYlBsnB2V8ZVT1LOJxhCtyJDQYGiAAjTAO&gaa_ts=699a4680&gaa_sig=vK-cdwh6wW8sJ-SHfFvlmV1u2aL-Boj4IGDR-HXxG0_lfOkkdvlCZq64vbOjcXNvIJgIPN-T34XWqtX5VEFeaw%3D%3D,Shares of Nvidia Corp. and Advanced Micro Devices Inc. dropped following a report that the Biden administration is considering a new ban on sales of AI chips to China. This potential ban comes despite Nvidia managing to avoid $400 million in lost sales last year after a previous ban on some chip sales to China. The news impacted both companies with Nvidia shares falling 3% after hours and AMD shares also decreasing by 3%.
2023-12-31 23:59:59,The Cheap Trick Alphabet Is Using To Boost Its Share Price,Finimize,0.609175,0.225053,0.240831,https://finimize.com/content/cheap-trick-alphabet-using-boost-its-share-price,"Alphabet's 20-for-1 stock split, following similar moves by Apple and Tesla, is unlikely to fundamentally change the company's valuation but aims to make shares more accessible to smaller investors and potentially gain entry into the Dow Jones Industrial Average. While some tech giants saw significant share price boosts post-split, Alphabet's future success might be tempered by changing market conditions. The article suggests Amazon could be the next tech giant to undertake a similar split to boost its stock."
2024-04-24 15:16:30,Nvidia acquires GPU cluster optimization startup Run:ai for reported $700M,SiliconANGLE,1.0,0.402791,0.41835,https://siliconangle.com/2024/04/24/nvidia-acquires-gpu-cluster-optimization-startup-runai-reported-700m/,"Nvidia Corp. has acquired Run:ai, a startup specializing in software that optimizes the performance of graphics card clusters for AI workloads. Although the terms were not officially disclosed, the deal was reportedly valued at $700 million, significantly higher than Run:ai's prior funding. Run:ai's technology aims to boost AI performance by resolving common inefficiencies in GPU-powered servers, such as data exchange delays and memory collisions, allowing for more efficient utilization of GPU resources."
2024-05-10 00:00:00,Should You Buy Nvidia Stock Before the AI Chipmaker Reports Earnings on May 22?,Barchart.com,1.0,0.216689,0.100355,https://www.barchart.com/story/news/26114057/should-you-buy-nvidia-stock-before-the-ai-chipmaker-reports-earnings-on-may-22,"Nvidia's stock has seen a significant surge due to demand for its GPUs driven by generative AI. With first-quarter earnings approaching on May 22nd, analysts have high expectations for the chipmaker. Investors are advised to be cautious due to the stock's current pricey valuation, despite its strong market position and growth potential in the AI economy."
2024-03-18 16:22:19,NVIDIA Launches Blackwell-Powered DGX SuperPOD for Generative AI Supercomputing at Trillion-Parameter Scale,NVIDIA Newsroom,1.0,0.957249,0.67096,https://nvidianews.nvidia.com/news/nvidia-blackwell-dgx-generative-ai-supercomputing,"NVIDIA has announced its next-generation AI supercomputer, the NVIDIA DGX SuperPOD, powered by GB200 Grace Blackwell Superchips. This new system is designed for processing trillion-parameter models with constant uptime for generative AI training and inference, featuring liquid cooling, 11.5 exaflops of AI supercomputing, and up to 576 Blackwell GPUs. Additionally, NVIDIA unveiled the DGX B200 system, an air-cooled platform for AI model training, fine-tuning, and inference, providing 15x faster real-time inference for trillion-parameter models."
2024-09-10 10:14:01,"Nvidia Faces Investor Scrutiny Over Blackwell Chip Delays, Big Revenue Expected: Report",TradingView,1.0,-0.217714,0.121271,https://www.tradingview.com/news/benzinga:e789240d9094b:0-nvidia-faces-investor-scrutiny-over-blackwell-chip-delays-big-revenue-expected-report/,"Nvidia is facing investor scrutiny due to delays in its Blackwell chip rollout, despite expecting ""several billion dollars"" in revenue from it in the fiscal fourth quarter. The stock has dropped 15% since the announcement, though it remains up over 137% in the last 12 months. Analysts are concerned about the delays in the absence of other positive catalysts, while some argue the selloff is unwarranted given the strong demand for AI technology from Big Tech giants."
2024-09-04 16:31:00,"How Nvidia doubled earnings, lost almost $300 billion in value and shook the stock market",NBC News,1.0,-0.207337,-0.074012,https://www.nbcnews.com/business/business-news/nvidia-stock-volatility-why-ai-payoff-explainer-rcna169600,"Nvidia experienced a significant stock market shake-up, losing almost $300 billion in value in a single day, despite having doubled its earnings. This downturn is attributed to growing fears of an economic slowdown and renewed skepticism about the immediate payoff from AI investments, causing broader market indexes to also fall. Analysts highlight Nvidia's dependence on continued massive AI investments from major tech companies and warn of stock volatility."
2024-10-28 00:00:00,How Nvidia Overtook Apple as World's Most Valuable Company,Technology Magazine,1.0,0.480777,0.319688,https://technologymagazine.com/articles/how-nvidia-overtook-apple-as-worlds-most-valuable-company,"Nvidia briefly surpassed Apple to become the world's most valuable company, driven by the immense demand for its specialized AI chips crucial for advanced AI applications. This shift highlights the growing importance of AI-driven technologies in the tech market, with Nvidia benefiting significantly from the race among tech giants to dominate AI. While Apple later regained its lead, Nvidia's surge underscores the impact of AI on market valuations and investment trends."
2025-02-26 04:50:03,"Nvidia sales grow 78% on AI demand, company gives strong guidance",CNBC,1.0,0.814341,0.812989,https://www.cnbc.com/2025/02/26/nvidia-nvda-earnings-report-q4-2025.html,"Nvidia reported strong fiscal fourth-quarter earnings, beating Wall Street expectations, with revenue up 78% year-over-year due to high demand for its AI-accelerating GPUs. The company also issued robust guidance for the first quarter, projecting $43 billion in revenue, driven by the anticipated ""significant ramp"" of its next-generation Blackwell AI chips. While growth rates are moderating as Nvidia scales, its data center business, now 91% of total sales, continues to surge, with CEO Jensen Huang noting ""amazing"" demand for Blackwell."
2025-04-14 00:00:00,NVIDIA to Manufacture American-Made AI Supercomputers in US for First Time,NVIDIA Blog,1.0,0.828529,0.69437,https://blogs.nvidia.com/blog/nvidia-manufacture-american-made-ai-supercomputers-us/,"NVIDIA is collaborating with manufacturing partners to produce AI supercomputers entirely within the U.S. for the first time. The company is commissioning over a million square feet of manufacturing space in Arizona and Texas to build and test NVIDIA Blackwell chips and AI supercomputers, aiming to complete up to half a trillion dollars of AI infrastructure in the US within four years. This initiative is expected to create hundreds of thousands of jobs and enhance supply chain resiliency while meeting the growing demand for AI technology."
